Designator,Layer,Rotation,Mid X,Mid Y
"CIRCLE / B","Bottom",0,"38.9299mm","-2.3404mm"
"CROSS / A","Bottom",0,"10.039mm","-13.3365mm"
"D","Bottom",0,"-71.1993mm","24.0676mm"
"F1","Top",0,"27.3216mm","-35.7014mm"
"HOME / PS","Top",270,"31.0621mm","51.7565mm"
"L","Bottom",0,"-100.9021mm","24.0676mm"
"L1","Bottom",0,"99.8326mm","22.5707mm"
"L2","Bottom",0,"96.5576mm","-10.2727mm"
"L3","Top",270,"42.0425mm","51.7565mm"
"LOCK","Top",0,"97.7151mm","51.8054mm"
"LS/DP/RS","Top",0,"67.7767mm","51.8054mm"
"OLED1","Top",0,"-39.3714mm","58.3139mm"
"OPTIONS / START","Top",270,"9.1013mm","51.7565mm"
"R","Bottom",0,"-43.7953mm","11.4611mm"
"R1","Bottom",0,"71.0634mm","30.6315mm"
"R2","Bottom",0,"67.7884mm","-2.3404mm"
"R3","Top",270,"53.0229mm","51.7565mm"
"R3","Top",0,"60.9009mm","-33.2015mm"
"R4","Top",0,"83.8201mm","-31.2014mm"
"SHARE / SELECT","Top",270,"20.0817mm","51.7565mm"
"SOCD","Top",0,"83.6509mm","51.8054mm"
"SQUARE / X","Bottom",0,"15.539mm","16.9143mm"
"TRIANGLE / Y","Bottom",0,"41.7049mm","30.6315mm"
"U","Bottom",0,"-22.1654mm","-36.7764mm"
"U3","Top",0,"-9.707mm","34.1207mm"
"USB","Top",90,"113.6861mm","-32.1714mm"
